original_path,new_path,slide,original_type,new_type,change,source_data,script_or_source,limitation
assets/figures/presentation/fig_5_19_psha_curvas_pga_bpt.pdf,figures_presentation_generated/pdf/fig_5_19_psha_curvas_pga_bpt.pdf,Anexo,pdf,pdf/svg/png,"Regenerada desde ZIP de curvas hazard_curve-mean-PGA, manteniendo series interplaca, intraplaca, FSR, total, ejes log-log y umbrales PGA@10%/PGA@2%; el mapa de sitios se inserta desde layout QGIS satelital con marco cebra.",../Modelos_v2025/hazard/psha/resultados/disagg/curvas_amenaza_apoyo/datos_crudos/output-512-hcurves-csv.zip; ../Modelos_v2025/hazard/psha/resultados/disagg/curvas_amenaza_apoyo/datos_crudos/output-516-hcurves-csv.zip; ../Modelos_v2025/hazard/psha/resultados/disagg/curvas_amenaza_apoyo/datos_crudos/output-524-hcurves-csv.zip; figures_presentation_generated/png/qgis_site_map_control_sites.png; notebook: ../Modelos_v2025/hazard/psha/codigos_apoyo/curvas_amenaza_sitios_interes.ipynb,figures_presentation_generated/src/generate_all_figures.py,Las curvas se reconstruyen desde los ZIP mean identificados por el notebook original; no se usa el SVG de tesis porque su tipografia viene convertida a trazos.
assets/figures/presentation/fig_5_22_disagg_pga_poisson.pdf,figures_presentation_generated/pdf/fig_5_22_disagg_pga_poisson.pdf,18,pdf,pdf,Regenerada como figura mixta: barras de contribucion desde tabla original y mapa de sitios exportado desde QGIS satelital con marco cebra y formato comun.,../Modelos_v2025/resultados_finales/hazard_curvas_y_desagg/tables/contribuciones/PGA/Poisson/tabla_contribuciones_PGA_Poisson.csv; figures_presentation_generated/src/qgis_data/control_sites.csv; figures_presentation_generated/src/export_qgis_maps.py,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/src/export_qgis_maps.py; figures_presentation_generated/src/wrappers/fig_5_22_disagg_pga_poisson.tex,El contenido numerico de barras proviene de la tabla identificada; el mapa de ubicacion se genera en QGIS con fondo satelital XYZ.
assets/figures/presentation/fig_5_23_disagg_pga_bpt.pdf,figures_presentation_generated/pdf/fig_5_23_disagg_pga_bpt.pdf,Anexo,pdf,pdf,Regenerada como figura mixta: barras de contribucion desde tabla original y mapa de sitios exportado desde QGIS satelital con marco cebra y formato comun.,../Modelos_v2025/resultados_finales/hazard_curvas_y_desagg/tables/contribuciones/PGA/BPT/tabla_contribuciones_PGA_BPT.csv; figures_presentation_generated/src/qgis_data/control_sites.csv; figures_presentation_generated/src/export_qgis_maps.py,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/src/export_qgis_maps.py; figures_presentation_generated/src/wrappers/fig_5_23_disagg_pga_bpt.tex,El contenido numerico de barras proviene de la tabla identificada; el mapa de ubicacion se genera en QGIS con fondo satelital XYZ.
assets/figures/presentation/fig_5_25_disagg_sa10_bpt.pdf,figures_presentation_generated/pdf/fig_5_25_disagg_sa10_bpt.pdf,Anexo,pdf,pdf,Regenerada como figura mixta: barras de contribucion desde tabla original y mapa de sitios exportado desde QGIS satelital con marco cebra y formato comun.,../Modelos_v2025/resultados_finales/hazard_curvas_y_desagg/tables/contribuciones/SA1_0/BPT/tabla_contribuciones_SA1_0_BPT.csv; figures_presentation_generated/src/qgis_data/control_sites.csv; figures_presentation_generated/src/export_qgis_maps.py,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/src/export_qgis_maps.py; figures_presentation_generated/src/wrappers/fig_5_25_disagg_sa10_bpt.tex,El contenido numerico de barras proviene de la tabla identificada; el mapa de ubicacion se genera en QGIS con fondo satelital XYZ.
assets/figures/presentation/fig_5_30_perdidas_comuna_materialidad.pdf,figures_presentation_generated/pdf/fig_5_30_perdidas_comuna_materialidad.pdf,16,pdf,pdf/svg/png,"Regenerada desde SVG identificado de riesgo por escenarios, preservando las cuatro columnas y datos originales.",../Modelos_v2025/resultados_finales/risk_scenario/Comparison_Final_4Cols_Mat_FIXED_COMUNA__MAT-NAC_noAdobe.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/fig_5_30_perdidas_comuna_materialidad.svg,"El SVG fuente no contiene texto editable; el texto ya viene convertido a trazos. Se normalizan margen, salida vectorial y grosores, pero la familia tipografica requiere regenerar desde el notebook."
assets/figures/presentation/fig_5_42_oep_relativo.pdf,figures_presentation_generated/pdf/fig_5_42_oep_relativo.pdf,21,pdf,pdf/svg/png,"Regenerada desde SVG identificado de OEP, aplicando el mismo postproceso conceptual, estilo de presentacion y leyenda compactada.",../Modelos_v2025/resultados_finales/risk_event_based/figA_oep_relativo_clean_square.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/fig_5_42_oep_relativo.svg,
assets/figures/presentation/fig_5_43_delta_lambda.pdf,figures_presentation_generated/pdf/fig_5_43_delta_lambda.pdf,21,pdf,pdf/svg/png,"Regenerada desde SVG identificado de delta lambda, aplicando postproceso y estilo de presentacion.",../Modelos_v2025/resultados_finales/risk_event_based/ASC_EFFECT_LAMBDA/DELTA_LAMBDA_threshold__ConMinusSin__Nacional_vs_HAZUS__xmin1e-5__meanDiff.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/fig_5_43_delta_lambda.svg,"El SVG fuente no contiene texto editable; el texto ya viene convertido a trazos. Se normalizan margen, salida vectorial y grosores, pero la familia tipografica requiere regenerar desde el notebook."
assets/figures/presentation/anexo_vulnerabilidad_junemann.png,figures_presentation_generated/pdf/anexo_vulnerabilidad_junemann.pdf,Anexo,png,pdf/svg/png,"Regenerada desde SVG identificado de vulnerabilidad, conservando curvas y ejes originales.",../Modelos_v2025/resultados_finales/risk_vulnerabilidad/Figuras/Vulnerabilidad/junemann/vulnerabilidad_junemann_paper.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/anexo_vulnerabilidad_junemann.svg,"El SVG fuente no contiene texto editable; el texto ya viene convertido a trazos. Se normalizan margen, salida vectorial y grosores, pero la familia tipografica requiere regenerar desde el notebook."
assets/figures/presentation/anexo_vulnerabilidad_cabrera.png,figures_presentation_generated/pdf/anexo_vulnerabilidad_cabrera.pdf,Anexo,png,pdf/svg/png,"Regenerada desde SVG identificado de vulnerabilidad, conservando curvas y ejes originales.",../Modelos_v2025/resultados_finales/risk_vulnerabilidad/Figuras/Vulnerabilidad/cabrera/vulnerabilidad_cabrera_paper.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/anexo_vulnerabilidad_cabrera.svg,"El SVG fuente no contiene texto editable; el texto ya viene convertido a trazos. Se normalizan margen, salida vectorial y grosores, pero la familia tipografica requiere regenerar desde el notebook."
assets/figures/presentation/anexo_vulnerabilidad_hazus.png,figures_presentation_generated/pdf/anexo_vulnerabilidad_hazus.pdf,Anexo,png,pdf/svg/png,"Regenerada desde SVG identificado de vulnerabilidad, conservando curvas y ejes originales.",../Modelos_v2025/resultados_finales/risk_vulnerabilidad/Figuras/Vulnerabilidad/hazus/vulnerabilidad_hazus_paper.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/anexo_vulnerabilidad_hazus.svg,"El SVG fuente no contiene texto editable; el texto ya viene convertido a trazos. Se normalizan margen, salida vectorial y grosores, pero la familia tipografica requiere regenerar desde el notebook."
assets/figures/presentation/anexo_convergencia_nlt_pga.png,figures_presentation_generated/pdf/anexo_convergencia_nlt_pga.pdf,Anexo,png,pdf/svg/png,"Regenerada desde SVG identificado de convergencia por ramas, con fuente sans-serif y texto aumentado.",../Modelos_v2025/resultados_finales/hazard_psha_sensibilidad_N_ramas/16_ppt_vertical_convergence/PGA_Panels_VertLines.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/anexo_convergencia_nlt_pga.svg,
assets/figures/presentation/anexo_convergencia_nlt_sa10.png,figures_presentation_generated/pdf/anexo_convergencia_nlt_sa10.pdf,Anexo,png,pdf/svg/png,"Regenerada desde SVG identificado de convergencia por ramas, con fuente sans-serif y texto aumentado.",../Modelos_v2025/resultados_finales/hazard_psha_sensibilidad_N_ramas/16_ppt_vertical_convergence/SA(1.0)_Panels_VertLines.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/anexo_convergencia_nlt_sa10.svg,
assets/figures/presentation/anexo_convergencia_gmf_pga020.pdf,figures_presentation_generated/pdf/anexo_convergencia_gmf_pga020.pdf,Anexo,pdf,pdf/svg/png,"Regenerada desde SVG identificado de convergencia GMF, conservando curvas y ejes originales.",../Modelos_v2025/hazard/scenario/test_analisis_convergencia/salidas_corregidas_procesamiento/figs_paper_uaxis_v2/Tu_uaxis_sq_v2_thr0p20.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/anexo_convergencia_gmf_pga020.svg,"El SVG fuente no contiene texto editable; el texto ya viene convertido a trazos. Se normalizan margen, salida vectorial y grosores, pero la familia tipografica requiere regenerar desde el notebook."
assets/figures/presentation/anexo_convergencia_gmf_pga040.pdf,figures_presentation_generated/pdf/anexo_convergencia_gmf_pga040.pdf,Anexo,pdf,pdf/svg/png,"Regenerada desde SVG identificado de convergencia GMF, conservando curvas y ejes originales.",../Modelos_v2025/hazard/scenario/test_analisis_convergencia/salidas_corregidas_procesamiento/figs_paper_uaxis_v2/Tu_uaxis_sq_v2_thr0p40.svg,figures_presentation_generated/src/generate_all_figures.py; figures_presentation_generated/svg/anexo_convergencia_gmf_pga040.svg,"El SVG fuente no contiene texto editable; el texto ya viene convertido a trazos. Se normalizan margen, salida vectorial y grosores, pero la familia tipografica requiere regenerar desde el notebook."
TikZ inline en tex/presentation/main.tex,figures_presentation_generated/src/fig_theory_metrics.tikz,7,tikz inline,tikz input,"Extraida a fuente generada y ajustada a estilos de color, linea y tipografia de la presentacion.",Contenido conceptual de tex/presentation/main.tex y figura TikZ original.,figures_presentation_generated/src/fig_theory_metrics.tikz,Figura compilada directamente por Beamer desde TikZ; no requiere PDF intermedio.
assets/figures/presentation/fig_4_3_arbol_logico_tikz.tex,figures_presentation_generated/src/fig_logic_tree.tikz,10,tikz,tikz input,Redibujada como fuente TikZ generada con colores de Beamer y pesos de linea uniformes.,Contenido conceptual de tex/presentation/main.tex y figura TikZ original.,figures_presentation_generated/src/fig_logic_tree.tikz,Figura compilada directamente por Beamer desde TikZ; no requiere PDF intermedio.
TikZ inline en tex/presentation/main.tex,figures_presentation_generated/src/fig_workflow.tikz,11,tikz inline,tikz input,"Extraida a fuente generada y ajustada a estilos de color, linea y tipografia de la presentacion.",Contenido conceptual de tex/presentation/main.tex y figura TikZ original.,figures_presentation_generated/src/fig_workflow.tikz,Figura compilada directamente por Beamer desde TikZ; no requiere PDF intermedio.
